Località,Fisso 1,Fisso 2,Cellulare 1,Cellulare 2,Cellulare 3,DCO,Codici Salette
Riva Trigoso,70031002,,,,,,
Moneglia,,,,,,,
Deiva Marina,70023402,,,,,,
Framura,70023902,,,,,,
Bonassola,,,,,,,
Levanto,70027802,,,,,,
Monterosso,70028602,,,,,,
Vernazza,,,,,,,
Corniglia,70023302,,,,,,
Manarola,,,,,,,
Riomaggiore,,,,,,,
La Spezia C.le,70027502,,,,,,
La Spezia Migliarina,70151702,,,,,,
Ca di Boschetti,,,,,,,
Vezzano Ligure,70303502,,,,,,
Bivio/PC Arcola,,,,,,,
Arcola,,,,,,,
Sarzana,70265602,,,,,,
Luni,,,,,,,
Carrara Avenza,,,,,,,
Massa Zona Ind.,70167102,,,,,,
Massa Centro,70167002,,,,,,
Forte dei Marmi,70135502,,,,,,
Pietrasanta,70213502,,,,,,
Camaiore Lido C.,,,,,,,
Viareggio,70303902,,,,,,
Torre del Lago,70288402,,,,,,
Pisa/bin. FMCamp,70215702,,,,,,
Pisa/bin. Pisa SR,,,,,,,
Pisa/bin. Pisa C.le,70215602,,,,,,
,,,,,,,
Quattro Ville S.,70910402,,,,,,
Quattro Ville,,,,,,,
Soliera Modenese,70275202,,,,,,
Carpi,70091202,,,,,,
Rolo Novi Fabbr.,70241502,,,,,,
Villanova Regg.,,,,,,,
Gonzaga Reggiolo,70144402,,,,,,
Palidano,,,,,,,
Suzzara,70280302,,,,,,
Romanore,,,,,,,
Levata,,,,,,,
Borgochiesanuova,,,,,,,
Mantova,70163902,,,,,,
